,timestamp_start,timestamp_end,qSQI_score,cSQI_score,sSQI_score,kSQI_score,pSQI_score,basSQI_score,annot_2,annot_3,record,consensus
40,2020-12-18 13:01:20.000000000,2020-12-18 13:01:22.000000000,0.5,0.511,1.552,3.971,0.482,0.955,1,1,emg6+emg6- 77,1
41,2020-12-18 13:01:22.000000000,2020-12-18 13:01:24.000000000,1.0,0.46,1.152,3.262,0.46,0.962,1,1,emg6+emg6- 77,1
42,2020-12-18 13:01:24.000000000,2020-12-18 13:01:26.000000000,0.8,0.801,1.101,2.741,0.447,0.953,1,1,emg6+emg6- 77,1
43,2020-12-18 13:01:26.000000000,2020-12-18 13:01:28.000000000,1.0,0.659,1.694,4.643,0.47,0.975,1,1,emg6+emg6- 77,1
44,2020-12-18 13:01:28.000000000,2020-12-18 13:01:30.000000000,0.667,0.59,1.209,3.235,0.466,0.953,1,1,emg6+emg6- 77,1
45,2020-12-18 13:01:30.000000000,2020-12-18 13:01:32.000000000,0.667,0.543,1.159,2.569,0.508,0.96,1,1,emg6+emg6- 77,1
46,2020-12-18 13:01:32.000000000,2020-12-18 13:01:34.000000000,0.5,0.497,1.743,4.497,0.48,0.987,1,1,emg6+emg6- 77,1
47,2020-12-18 13:01:34.000000000,2020-12-18 13:01:36.000000000,0.8,0.9,1.04,2.366,0.478,0.945,1,1,emg6+emg6- 77,1
48,2020-12-18 13:01:36.000000000,2020-12-18 13:01:38.000000000,0.8,0.782,1.243,3.1,0.488,0.963,1,1,emg6+emg6- 77,1
49,2020-12-18 13:01:38.000000000,2020-12-18 13:01:40.000000000,1.0,0.664,1.173,3.359,0.46,0.941,1,1,emg6+emg6- 77,1
50,2020-12-18 13:01:40.000000000,2020-12-18 13:01:42.000000000,0.667,0.586,1.236,3.184,0.421,0.95,1,1,emg6+emg6- 77,1
51,2020-12-18 13:01:42.000000000,2020-12-18 13:01:44.000000000,0.5,0.498,1.69,4.6,0.476,0.993,1,1,emg6+emg6- 77,1
52,2020-12-18 13:01:44.000000000,2020-12-18 13:01:46.000000000,0.8,0.82,1.067,2.559,0.48,0.948,1,1,emg6+emg6- 77,1
53,2020-12-18 13:01:46.000000000,2020-12-18 13:01:48.000000000,1.0,0.712,1.262,3.607,0.441,0.968,1,1,emg6+emg6- 77,1
54,2020-12-18 13:01:48.000000000,2020-12-18 13:01:50.000000000,1.0,0.624,1.295,3.403,0.463,0.949,1,1,emg6+emg6- 77,1
55,2020-12-18 13:01:50.000000000,2020-12-18 13:01:52.000000000,0.5,0.529,1.078,2.623,0.467,0.947,1,1,emg6+emg6- 77,1
56,2020-12-18 13:01:52.000000000,2020-12-18 13:01:54.000000000,0.8,0.956,1.32,2.654,0.471,0.977,1,1,emg6+emg6- 77,1
57,2020-12-18 13:01:54.000000000,2020-12-18 13:01:56.000000000,0.8,0.82,0.799,2.345,0.474,0.919,1,1,emg6+emg6- 77,1
58,2020-12-18 13:01:56.000000000,2020-12-18 13:01:58.000000000,0.4,0.773,1.231,1.53,0.474,0.96,0,0,emg6+emg6- 77,0
59,2020-12-18 13:01:58.000000000,2020-12-18 13:02:00.000000000,0.667,0.777,1.533,1.938,0.49,0.843,0,0,emg6+emg6- 77,0
60,2020-12-18 13:02:00.000000000,2020-12-18 13:02:02.000000000,0.667,0.781,1.38,3.879,0.441,0.862,1,1,emg6+emg6- 77,1
61,2020-12-18 13:02:02.000000000,2020-12-18 13:02:04.000000000,1.0,0.492,2.622,12.235,0.456,0.968,1,1,emg6+emg6- 77,1
62,2020-12-18 13:02:04.000000000,2020-12-18 13:02:06.000000000,1.0,0.617,0.776,2.971,0.504,0.926,1,1,emg6+emg6- 77,1
63,2020-12-18 13:02:06.000000000,2020-12-18 13:02:08.000000000,0.857,0.81,1.017,3.182,0.501,0.987,1,1,emg6+emg6- 77,1
64,2020-12-18 13:02:08.000000000,2020-12-18 13:02:10.000000000,0.667,0.506,0.749,2.58,0.438,0.943,1,1,emg6+emg6- 77,1
65,2020-12-18 13:02:10.000000000,2020-12-18 13:02:12.000000000,0.667,0.517,0.512,2.02,0.512,0.938,1,1,emg6+emg6- 77,1
66,2020-12-18 13:02:12.000000000,2020-12-18 13:02:14.000000000,0.667,0.537,1.229,5.437,0.535,0.952,1,1,emg6+emg6- 77,1
67,2020-12-18 13:02:14.000000000,2020-12-18 13:02:16.000000000,1.0,0.626,1.786,6.858,0.504,0.989,1,1,emg6+emg6- 77,1
68,2020-12-18 13:02:16.000000000,2020-12-18 13:02:18.000000000,0.8,0.692,1.401,5.593,0.491,0.954,1,1,emg6+emg6- 77,1
69,2020-12-18 13:02:18.000000000,2020-12-18 13:02:20.000000000,0.8,0.752,1.29,4.061,0.42,0.954,1,1,emg6+emg6- 77,1
